2019-01-24 13:53:30.041  INFO 15724 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6b4608dd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-24 13:53:43.358  INFO 15724 --- [Thread-45] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2019-01-24 13:53:43.359  INFO 15724 --- [Thread-45] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2019-01-24 13:53:43.360  INFO 15724 --- [Thread-45] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2019-01-24 13:53:43.360  INFO 15724 --- [Thread-45] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2019-01-24 13:53:43.360  INFO 15724 --- [Thread-45] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2019-01-24 13:53:43.360  INFO 15724 --- [Thread-45] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2019-01-24 13:53:43.374  INFO 15724 --- [Thread-45] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2019-01-24 13:53:43.968  INFO 15724 --- [restartedMain] s.a.ScheduledAnnotationBeanPostProcessor : No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2019-01-24 13:53:43.970  INFO 15724 --- [restartedMain] o.a.coyote.http11.Http11NioProtocol      : Starting ProtocolHandler ["http-nio-8761"]
2019-01-24 13:53:43.987  INFO 15724 --- [restartedMain] o.a.tomcat.util.net.NioSelectorPool      : Using a shared selector for servlet write/read
2019-01-24 13:53:43.996  INFO 15724 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8761 (http) with context path ''
2019-01-24 13:53:44.007  INFO 15724 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8761
2019-01-24 13:53:44.008  INFO 15724 --- [restartedMain] c.y.e.EurekaServerApplication            : Started EurekaServerApplication in 16.481 seconds (JVM running for 146126.334)
2019-01-24 13:53:44.016  INFO 15724 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2019-01-24 13:53:44.521  INFO 15724 --- [http-nio-8761-exec-5] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-01-24 13:53:44.521  INFO 15724 --- [http-nio-8761-exec-5] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-01-24 13:53:44.542  INFO 15724 --- [http-nio-8761-exec-5] o.s.web.servlet.DispatcherServlet        : Completed initialization in 21 ms
2019-01-24 13:53:44.609  INFO 15724 --- [http-nio-8761-exec-8] c.n.e.registry.AbstractInstanceRegistry  : Registered instance DISTRIBUTION/localhost:distribution:82 with status UP (replication=false)
2019-01-24 13:53:44.676  INFO 15724 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TAO_FEIGN/localhost:tao_feign:89 with status UP (replication=false)
2019-01-24 13:53:48.323  INFO 15724 --- [http-nio-8761-exec-1] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TAOTASK/localhost:taotask:8181 with status UP (replication=false)
2019-01-24 13:54:07.185  INFO 15724 --- [http-nio-8761-exec-9] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TAO_FEIGN/localhost:tao_feign:89 with status DOWN (replication=false)
2019-01-24 13:54:11.526  INFO 15724 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TAO_FEIGN/localhost:tao_feign:89 (replication=false)
2019-01-24 13:54:21.837  INFO 15724 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TAOTASK/localhost:taotask:8181 with status DOWN (replication=false)
2019-01-24 13:54:26.390  INFO 15724 --- [http-nio-8761-exec-2] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TAOTASK/localhost:taotask:8181 (replication=false)
2019-01-24 13:54:32.471  INFO 15724 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Registered instance DISTRIBUTION/localhost:distribution:82 with status DOWN (replication=false)
2019-01-24 13:54:32.666  INFO 15724 --- [http-nio-8761-exec-5] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TAO_FEIGN/localhost:tao_feign:89 with status UP (replication=false)
2019-01-24 13:54:38.101  INFO 15724 --- [http-nio-8761-exec-8] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance DISTRIBUTION/localhost:distribution:82 (replication=false)
2019-01-24 13:54:42.884  INFO 15724 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TAOTASK/localhost:taotask:8181 with status UP (replication=false)
2019-01-24 13:54:43.422  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 13:54:49.896  INFO 15724 --- [http-nio-8761-exec-1] c.n.e.registry.AbstractInstanceRegistry  : Registered instance DISTRIBUTION/localhost:distribution:82 with status UP (replication=false)
2019-01-24 13:55:43.422  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 13:56:43.423  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 13:57:43.423  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 13:58:43.424  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 13:59:43.425  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:00:43.425  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:01:43.425  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:02:43.426  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:03:43.426  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:04:43.427  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:05:43.427  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:06:43.428  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:07:43.429  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:08:43.096  INFO 15724 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 6
2019-01-24 14:08:43.429  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:09:43.429  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:10:43.430  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:11:43.431  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:12:43.431  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:13:43.432  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:14:43.433  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:15:43.433  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:16:43.433  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:17:43.433  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:18:43.434  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:19:43.434  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:20:43.435  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:21:43.435  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:22:43.436  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:23:43.097  INFO 15724 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 6
2019-01-24 14:23:43.437  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:24:43.437  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:25:43.438  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:26:43.439  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:27:43.439  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:28:43.440  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:29:43.441  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:30:43.441  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:31:43.441  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:32:43.442  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:33:43.443  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:34:43.443  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:35:43.443  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-01-24 14:36:43.444  INFO 15724 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
